,Unnamed: 0,id,title,body,link,rating,verified_purchase,helpful_votes,year,month,version,bd_cleaned,sw_removed,stemmed
10,10,R1NDO345NB5TSX,"Quick connection, perfect picture and excellent performance",This product is just what it says and it located JW Broadcast instantly and connected to it. I have had problems in the past. It good to see a product perform as it should.,https://www.amazon.com/gp/customer-reviews/R1NDO345NB5TSX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,5,True,,2022,2,O.S.10.5,i really wanted this to be the upgrade i hoped for from my previous roku but i kept getting an hdcp error screen it indicated i needed to get a better hdmi cable but i was using the one it came with i followed all the help center tips to make this work i switched cables out multiple times i tried every single hdmi outlet on my television i reset and restarted the tv and roku multiple times all ended in the error screen i spent too much time trying to make it work so back to the roku it is,really wanted upgrade hoped previous kept getting hdcp error screen indicated needed get better hdmi cable using one came followed help center tips make work switched cables multiple times tried every single hdmi outlet television reset restarted multiple times ended error screen spent much time trying make work back,realli want upgrad hope previou kept get hdcp error screen indic need get better hdmi cabl use one came follow help center tip make work switch cabl multipl time tri everi singl hdmi outlet televis reset restart multipl time end error screen spent much time tri make work back
11,11,ROB7SF9VQYXOA,I really wanted to like this,"I really wanted this to be the upgrade I hoped for from my previous Roku, but I kept getting an HDCP Error screen. It indicated I needed to get a better HDMI cable, but I was using the one it came with. I followed all the help center tips to make this work, I switched cables out multiple times, I tried every single HDMI outlet on my television, I reset and restarted the TV and Roku multiple times. All ended in the error screen. I spent too much time trying to make it work, so back to the $20 roku it is.",https://www.amazon.com/gp/customer-reviews/ROB7SF9VQYXOA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,1,True,,2022,2,O.S.10.5,i bought the roku ultra instead of the apple tv k because it is less than half the price the comparison reviews all had the two devices tied so i thought why not bought it right before super bowl the first half of the super bowl there were constant quick sec wifi drops where you get the wheel from hell but then during the half time show it went down a full minutes my guests were scrambling to other tvs in the house to watch half time while they did that i pulled an apple tv from another part of the house and connected it we didn t lose wifi for the rest of the night only now am i reading the fine print on some reviews where some reviewers do point out that that roku have inferior wifi connection is it worth double the price not to lose wifi in the middle of your favorite show or the super bowl halftime yes i am biting the bullet and buying another apple tv k,bought ultra instead apple k less half price comparison reviews two devices tied thought bought right super bowl first half super bowl constant quick sec wifi drops get wheel hell half time show went full minutes guests scrambling tvs house watch half time pulled apple another part house connected lose wifi rest night reading fine print reviews reviewers point inferior wifi connection worth double price lose wifi middle favorite show super bowl halftime yes biting bullet buying another apple k,bought ultra instead appl k less half price comparison review two devic tie thought bought right super bowl first half super bowl constant quick sec wifi drop get wheel hell half time show went full minut guest scrambl tv hous watch half time pull appl anoth part hous connect lose wifi rest night read fine print review review point inferior wifi connect worth doubl price lose wifi middl favorit show super bowl halftim ye bite bullet buy anoth appl k
12,12,R1EY8OAQGSUXL4,Lost connection during Super Bowl,"I bought the ROKU Ultra instead of the Apple TV 4K because it is less than half the price. The comparison reviews all had the two devices tied so I thought why not. Bought it right before super bowl. The first half of the Super Bowl there were constant quick 7 sec wifi drops where you get the wheel from hell, but then during the half time show it went down a full 3 minutes. My guests were scrambling to other TVs in the house to watch half time. While they did that I pulled an Apple TV from another part of the house and connected it. We didn't lose wifi for the rest of the night. Only now am I reading the fine print on some reviews where some reviewers do point out that that Roku have inferior wifi connection. Is it worth double the price not to lose wifi in the middle of your favorite show or the Super Bowl halftime? Yes. I am biting the bullet and buying another Apple TV 4k.",https://www.amazon.com/gp/customer-reviews/R1EY8OAQGSUXL4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,1,True,,2022,2,O.S.10.5,we bought this for two reasons the native android tv o s is poor in comparison we have also have a tcl roku tv that works really well the problem is that we have lost substantial volume vs non roku inputs and the dolby support seems quite limited vs all the dolby options we have through or avr all in all not impressed for a top of the line model as reviews stated this system is showing it s age be we ll get lucky and there will be a software update to address these audio issues video appears to be unaffected,bought two reasons native android poor comparison also tcl works really well problem lost substantial volume vs non inputs dolby support seems quite limited vs dolby options avr impressed top line model reviews stated system showing age get lucky software update address audio issues video appears unaffected,bought two reason nativ android poor comparison also tcl work realli well problem lost substanti volum vs non input dolbi support seem quit limit vs dolbi option avr impress top line model review state system show age get lucki softwar updat address audio issu video appear unaffect
13,13,R2Z5WOFVG9I4AP,Audio issues with home theater system....,"We bought this for two reasons; - The native android TV O/S is poor in comparison - We have also have a TCL Roku TV that works really well. The problem is that we have lost substantial volume vs. non Roku inputs and the Dolby support seems quite limited vs. all the Dolby options we have through or AVR. All in all...not impressed for a ""top of the line"" model. As reviews stated, ""...this system is showing it's age..."" 05be we'll get lucky and there will be a software update to address these audio issues. Video appears to be unaffected.",https://www.amazon.com/gp/customer-reviews/R2Z5WOFVG9I4AP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,3,True,,2022,2,O.S.10.5,i ve been using roku for many years and have always been satisfied and usually opt for the newest version this version however does not represent an improvement over the recent past for one thing it takes noticeably longer for channels to load and for another the stream gets interrupted and the video stops for a number of seconds before it resumes when i plug my slightly older roku box back in using the same cables the problems totally disappear so i don t think this has anything to do with my system also this is the second new version i ve tried thinking that be the first was just a bad box nope the same problems recurred with the new box so both have been returned and i will happily continue to use what i have,using many years always satisfied usually opt newest version version however represent improvement recent past one thing takes noticeably longer channels load another stream gets interrupted video stops number seconds resumes plug slightly older box back using cables problems totally disappear think anything system also second new version tried thinking first bad box nope problems recurred new box returned happily continue use,use mani year alway satisfi usual opt newest version version howev repres improv recent past one thing take notic longer channel load anoth stream get interrupt video stop number second resum plug slightli older box back use cabl problem total disappear think anyth system also second new version tri think first bad box nope problem recur new box return happili continu use
14,14,R34Q45ISQO8XV3,Not an Improvement,"I've been using Roku for many years and have always been satisfied and usually opt for the newest version. This version, however, does not represent an improvement over the recent past. For one thing, it takes noticeably longer for channels to load and, for another, the stream gets interrupted and the video stops for a number of seconds before it resumes. When I plug my slightly older Roku box back in using the same cables the problems totally disappear so I don't think this has anything to do with my system. Also this is the second ""new"" version I've tried thinking that 05be the first was just a bad box. Nope. The same problems recurred with the new box so both have been returned and I will happily continue to use what I have.",https://www.amazon.com/gp/customer-reviews/R34Q45ISQO8XV3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,1,True,,2022,2,O.S.10.5,i liked the ease and simplicity of set up so many more entertainment options than before i can listen to music through the tv now i am not tech savy and behind the learning curve when it comes to sticks tuners or cord cutters roku ultra is a life extender for my tv,liked ease simplicity set many entertainment options listen music tech savy behind learning curve comes sticks tuners cord cutters ultra life extender,like eas simplic set mani entertain option listen music tech savi behind learn curv come stick tuner cord cutter ultra life extend
15,15,R34076W7XP7074,Making the most of Streaming for a Very Affordable Price!,"I liked the ease and simplicity of set up. So many more entertainment options than before. I can listen to music through the TV now. i am not tech savy and behind the learning curve when it comes to ""sticks"", ""tuners""or ""cord cutters"". Roku Ultra is a life extender for my TV.",https://www.amazon.com/gp/customer-reviews/R34076W7XP7074/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,5,True,,2022,2,O.S.10.5,improved our streaming experienced i like the support for voice commands good job in design,improved streaming experienced like support voice commands good job design,improv stream experienc like support voic command good job design
16,16,R27QTSZREM89AM,Great product for the price,Improved our streaming experienced. I like the support for voice commands. Good job in design.,https://www.amazon.com/gp/customer-reviews/R27QTSZREM89AM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,5,True,,2022,2,O.S.10.5,i bought the roku ultra to replace a roku express that had a few annoying characteristics previous models required a very precise angle for the remote to operate the ultra definitely improves on that issue the remote also has an integrated headphone jack although i don t use that feature i returned the first ultra that i received because it displayed error messages on startup the replacement one does the same thing displaying no cable connected on startup with instructions to check connections or press source when i disregard the instructions and press ok it goes to a second error message saying no power for a couple of seconds and then changes to a normal startup screen which is exactly what the first one did this happens every time i turn it on but once i get past the error messages only takes about seconds it works great and responds much more quickly than the roku express that i previously owned i can live with the startup bug for the improved performance,bought ultra replace express annoying characteristics previous models required precise angle remote operate ultra definitely improves issue remote also integrated headphone jack although use feature returned first ultra received displayed error messages startup replacement one thing displaying cable connected startup instructions check connections press source disregard instructions press ok goes second error message saying power couple seconds changes normal startup screen exactly first one happens every time turn get past error messages takes seconds works great responds much quickly express previously owned live startup bug improved performance,bought ultra replac express annoy characterist previou model requir precis angl remot oper ultra definit improv issu remot also integr headphon jack although use featur return first ultra receiv display error messag startup replac one thing display cabl connect startup instruct check connect press sourc disregard instruct press ok goe second error messag say power coupl second chang normal startup screen exactli first one happen everi time turn get past error messag take second work great respond much quickli express previous own live startup bug improv perform
17,17,R33EG1T5QK8LN0,Better Than Roku Express,"I bought the Roku Ultra to replace a Roku Express that had a few annoying characteristics. Previous models required a very precise angle for the remote to operate; the Ultra definitely improves on that issue. The remote also has an integrated headphone jack, although I don't use that feature. I returned the first Ultra that I received because it displayed error messages on startup. The replacement one does the same thing, displaying ""No cable connected"" on startup with instructions to check connections or press 'Source'. When I disregard the instructions and press 'OK' it goes to a second error message saying 'No Power' for a couple of seconds and then changes to a normal startup screen (which is exactly what the first one did). This happens every time I turn it on, but once I get past the error messages (only takes about 20 seconds) it works great and responds much more quickly than the Roku Express that I previously owned. I can live with the startup bug for the improved performance.",https://www.amazon.com/gp/customer-reviews/R33EG1T5QK8LN0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,4,True,,2022,2,O.S.10.5,i got my roku ultra as a christmas present from my kids had it for a year with no problems now after the latest update it lost its connection to my tv i have tried everything from buying a new hdmi cable to resetting my tv settings to no success don t buy it just yet until they can fix the connection issue i m now using my old roku player with no issues,got ultra christmas present kids year problems latest update lost connection tried everything buying new hdmi cable resetting settings success buy yet fix connection issue using old player issues,got ultra christma present kid year problem latest updat lost connect tri everyth buy new hdmi cabl reset set success buy yet fix connect issu use old player issu
18,18,R125BIN2HRIRBS,Good product until now,"I got my ROKU Ultra as a Christmas present from my kids, had it for a year with no problems now after the latest update it lost its connection to my TV I have tried everything from buying a new HDMI cable to resetting my TV settings, to no success, Don’t buy it just yet until they can fix the connection issue I’m now using my old ROKU player with no issues",https://www.amazon.com/gp/customer-reviews/R125BIN2HRIRBS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,1,False,,2022,2,O.S.10.5,roku is superior to the amazon fire stick remote is better and the roku program channel is pretty neat comparatively i have three remotes two roku and one fire stick i prefer the roku,superior fire stick remote better program channel pretty neat comparatively three remotes two one fire stick prefer,superior fire stick remot better program channel pretti neat compar three remot two one fire stick prefer
19,19,R26GMO011H1Q,Better than fire stick,Roku is superior to the Amazon Fire stick. Remote is better and the Roku program channel is pretty neat.... comparatively. I have three remotes. Two Roku and one fire stick. I prefer the Roku,https://www.amazon.com/gp/customer-reviews/R26GMO011H1Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,5,True,,2022,2,O.S.10.5,tried to take over i m the boss of the tv,tried take boss,tri take boss
20,20,R175KYE74J0CGE,not good,tried to take over. I'm the boss of the TV,https://www.amazon.com/gp/customer-reviews/R175KYE74J0CGE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,1,True,,2022,2,O.S.10.5,not for me i don t like it goes through double aa batteries like crazy,like goes double aa batteries like crazy,like goe doubl aa batteri like crazi
21,21,R2QQ64DLNP9CKO,eats batteries like crazy-batteries only last 3 days at the mosy,not for me -i don't like it. goes through double aa batteries like crazy.,https://www.amazon.com/gp/customer-reviews/R2QQ64DLNP9CKO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,2,True,,2022,2,O.S.10.5,this is my th roku product purchased they are the best devices to stream any content from,th product purchased best devices stream content,th product purchas best devic stream content
22,22,R3IPK3GGI59TM0,works great!,works great!,https://www.amazon.com/gp/customer-reviews/R3IPK3GGI59TM0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,5,True,,2022,2,O.S.10.5,now have a roku ultra in every room this particular model completes our perfect picture on our samsung k qled the wifi is great but contacting via ethernet is even better,ultra every room particular model completes perfect picture samsung k qled wifi great contacting via ethernet even better,ultra everi room particular model complet perfect pictur samsung k qled wifi great contact via ethernet even better
23,23,RLQFDF7D4MPEZ,Works great all the time!,"This is my 5th Roku product purchased, they are the best devices to stream any content from!",https://www.amazon.com/gp/customer-reviews/RLQFDF7D4MPEZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,5,True,,2022,2,O.S.10.5,the worst roku device i have ever owned from them i updated to this model because my old devices did not support k hdr i have had to return or exchanged time over the last mounths the sound will go in and out on one of them i had another that would launch the hulu app by random when i push any other button and the other i had to restart all the time to get it to work,worst device ever owned updated model old devices support k hdr return exchanged time last mounths sound go one another would launch hulu app random push button restart time get work,worst devic ever own updat model old devic support k hdr return exchang time last mounth sound go one anoth would launch hulu app random push button restart time get work
24,24,R1LHV5QTHOJT4W,Perfect!!!!,Now have a Roku Ultra in every room. This particular model completes our perfect picture on our Samsung 4K QLED!!! The wifi is great but contacting via Ethernet is even better!!!!!,https://www.amazon.com/gp/customer-reviews/R1LHV5QTHOJT4W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,5,True,,2022,2,O.S.10.5,we got this to use in a location where we only have access to wifi it works terrific makes us wonder why we have cable at home except that we can use various streaming services that are part of our cable package,got use location access wifi works terrific makes us wonder cable home except use various streaming services part cable package,got use locat access wifi work terrif make us wonder cabl home except use variou stream servic part cabl packag
25,25,R2U0ZQHSBA6UFR,Don't Buy the 4800 Model,"the worst roku device I have ever owned from them. I updated to this model because my old devices did not support 4k HDR. I HAVE HAD TO RETURN OR EXCHANGED 3 TIME OVER THE LAST 7 MOUNTHS. The sound will go in and out on one of them i had, another that would launch the hulu app by random when i push any other button. and the other i had to restart all the time to get it to work",https://www.amazon.com/gp/customer-reviews/R2U0ZQHSBA6UFR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,2,False,,2022,2,O.S.10.5,as other reviewers have mentioned i also got a clearly used product i was just upgrading an older ultra to the x because i needed proper dolby atmos passthrough to sound system worked fine in that regard but the box was clearly opened before fingerprints were on unit and bottom was dusty from sitting out somewhere the film protectors were off and stuck to the front of the manual the twist tie was off the power cord loose in box and the cord looked like it got c ht in a line trimmer i just used my old one shameful first time i ever felt ripped off on amazon need it now so didn t bother with return not readily clear if new or used refurbished in description but the amazon purchase report tool showed new so that s how the seller is listing in any case if it s refurbished just say so probably would have still bought it but don t outright lie about it or omit the fact zero stars edit within a couple days the remote kept unpairing from the unit doesn t happen with any other roku in the house did an exchange new unit arrived today and was actually new the box had the original peel seals and the plug wire and such had clearly never been unwrapped hopefully this one works again beware,reviewers mentioned also got clearly used product upgrading older ultra x needed proper dolby atmos passthrough sound system worked fine regard box clearly opened fingerprints unit bottom dusty sitting somewhere film protectors stuck front manual twist tie power cord loose box cord looked like got c ht line trimmer used old one shameful first time ever felt ripped need bother return readily clear new used refurbished description purchase report tool showed new seller listing case refurbished say probably would still bought outright lie omit fact zero stars edit within couple days remote kept unpairing unit happen house exchange new unit arrived today actually new box original peel seals plug wire clearly never unwrapped hopefully one works beware,review mention also got clearli use product upgrad older ultra x need proper dolbi atmo passthrough sound system work fine regard box clearli open fingerprint unit bottom dusti sit somewher film protector stuck front manual twist tie power cord loos box cord look like got c ht line trimmer use old one shame first time ever felt rip need bother return readili clear new use refurbish descript purchas report tool show new seller list case refurbish say probabl would still bought outright lie omit fact zero star edit within coupl day remot kept unpair unit happen hous exchang new unit arriv today actual new box origin peel seal plug wire clearli never unwrap hope one work bewar
26,26,R3OULXDN4S7SBB,Easy to set up and use,We got this to use in a location where we only have access to WiFI. It works terrific. Makes us wonder why we have cable at home - except that we can use various streaming services that are part of our cable package.,https://www.amazon.com/gp/customer-reviews/R3OULXDN4S7SBB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,5,True,,2022,2,O.S.10.5,after installing the unit runs for seconds and crashes the tv screen goes black returning,installing unit runs seconds crashes screen goes black returning,instal unit run second crash screen goe black return
27,27,R26F702XCD7JN0,BEWARE - PRODUCT WAS NOT NEW,"As other reviewers have mentioned, I also got a clearly used product. I was just upgrading an older Ultra to the 4800X because I needed proper Dolby Atmos passthrough to sound system. Worked fine in that regard, but the box was clearly opened before. Fingerprints were on unit and bottom was dusty from sitting out somewhere. The film protectors were off and stuck to the front of the manual. The twist tie was off the power cord loose in box and the cord looked like it got c08ht in a line trimmer. I just used my old one. Shameful. First time I ever felt ripped off on Amazon. Need it now, so didn't bother with return. Not readily clear if new or used/refurbished in description but the Amazon purchase report tool showed ""New"", so that's how the seller is listing. In any case if it's refurbished, just say so. Probably would have still bought it. But don't outright lie about it or omit the fact. Zero stars. Edit: Within a couple days the remote kept unpairing from the unit. Doesn't happen with any other Roku in the house. Did an exchange. New unit arrived today and was actually new. The box had the original peel seals and the plug wire and such had clearly never been unwrapped. Hopefully this one works. Again - BEWARE.",https://www.amazon.com/gp/customer-reviews/R26F702XCD7JN0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,1,True,,2022,2,O.S.10.5,this unit came opened box and already registered to someone else s email address it was a little dirty too i didn t know this was a refurbished posting otherwise this thing flys,unit came opened box already registered someone else email address little dirty know refurbished posting otherwise thing flys,unit came open box alreadi regist someon els email address littl dirti know refurbish post otherwis thing fli
28,28,R1LT9E5GO90X6K,Excelente!!,Una de nuestras mejores compras. Funciona a la perfección. Lo que más nos gusta es la posibilidad de utilizar los audífonos en el control (funcionan perfectamente) y que puede conectarse directamente cable LAN.,https://www.amazon.com/gp/customer-reviews/R1LT9E5GO90X6K/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,5,True,,2022,2,O.S.10.5,this is teh second or thrid roko that i have purchased the work fine as long as your not to far from the router,teh second thrid roko purchased work fine long far router,teh second thrid roko purchas work fine long far router
29,29,R1A38GDQWJPO94,Defective,After installing the unit runs for 30 seconds and crashes the TV screen goes black. Returning,https://www.amazon.com/gp/customer-reviews/R1A38GDQWJPO94/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08G9TJWW9,1,True,,2022,2,O.S.10.5,the design of the roku ultra is configured so it never shuts off this causes a problem when using to stream spectrum tv initially you can tune the app without a hiccup once you turn your tv off and turn on to view again that where the problem presents itself the app will continually buffer and the show a trouble code of rlp you must either unplug the roku box to reset or reset through settings in roku to view tv channels in spectrum app from perusing each products forums it seems that spectrum says it is a roku problem and vice versa,design ultra configured never shuts causes problem using stream spectrum initially tune app without hiccup turn turn view problem presents app continually buffer show trouble code rlp must either unplug box reset reset settings view channels spectrum app perusing products forums seems spectrum says problem vice versa,design ultra configur never shut caus problem use stream spectrum initi tune app without hiccup turn turn view problem present app continu buffer show troubl code rlp must either unplug box reset reset set view channel spectrum app perus product forum seem spectrum say problem vice versa
