,tweets,os,cleaned,english,len,sw_removed,stemmed
2024,"Anybody else having trouble watching #WonderWoman1984 on @hbomax using @Roku? It crashed about halfway through. Not surprised, they didn't have time to load test it.",9.4,anybody else having trouble watching wonderwoman on hbomax using roku it crashed about halfway through not surprised they didn t have time to load test it,anybody else trouble watching on it about halfway through not they t have time to load test it,18,anybody else trouble watching halfway time load test,anybodi els troubl watch halfway time load test
2025,I had a 42” roku tv still in the box from early last month. I bought it because it was on sale. I just put it up in my bedroom because I put my 32” philips roku tv in the boys room so they’ll each have a tv to play their Xbox’s on they are definitely spoiled and blessed,9.4,i had a roku tv still in the box from early last month i bought it because it was on sale i just put it up in my bedroom because i put my philips roku tv in the boys room so they ll each have a tv to play their xbox s on they are definitely spoiled and blessed,i had a still in the box from early last month i bought it because it was on sale i just put it up in my bedroom because i put my in the room so they each have a to play their s on they are definitely spoiled and blessed,50,still box early last month bought sale put bedroom put room play definitely spoiled blessed,still box earli last month bought sale put bedroom put room play definit spoil bless
2027,@hbomax Wonder woman 84 plays but is choppy. Audio seems fine and I have made sure my Roku TV is running the most recent software and it is hardwired to the internet,9.4,hbomax wonder woman plays but is choppy audio seems fine and i have made sure my roku tv is running the most recent software and it is hardwired to the internet,wonder woman but is choppy audio fine and i have made sure my is running the most recent and it is to the,23,wonder woman choppy audio fine made sure running recent,wonder woman choppi audio fine made sure run recent
2030,That I’ve been able to binge watch Silicon Valley without any issues while the rest of the country has been streaming the new Wonder Woman film makes me happy that I got HBO Max (and that the folks at Roku stopped being dicks).,9.4,that i ve been able to binge watch silicon valley without any issues while the rest of the country has been streaming the new wonder woman film makes me happy that i got hbo max and that the folks at roku stopped being dicks,that i been able to binge watch silicon valley without any while the rest of the country been streaming the new wonder woman film me happy that i got and that the at stopped being,35,able binge watch silicon valley without rest country streaming new wonder woman film happy got stopped,abl bing watch silicon valley without rest countri stream new wonder woman film happi got stop
2033,"Apparently @Roku and @GetSpectrum are fighting which has ruined the Xmas gifts I got my parents. I bought 3 Roku’s so they could watch their spectrum tv without having the cable boxes in every room, and on Xmas morn I set them up and can’t download the spectrum app. @RokuSupport",9.4,apparently roku and getspectrum are fighting which has ruined the xmas gifts i got my parents i bought roku s so they could watch their spectrum tv without having the cable boxes in every room and on xmas morn i set them up and can t download the spectrum app rokusupport,apparently and are fighting which ruined the i got my i bought s so they could watch their spectrum without the cable in every room and on morn i set them up and can t the spectrum,37,apparently fighting ruined got bought could watch spectrum without cable every room morn set spectrum,appar fight ruin got bought could watch spectrum without cabl everi room morn set spectrum
2035,"@SKEPTICIDES @H3CZ @hbomax Well up until recently it wasn’t even available on Roku, they also have an HBO app which I think has basically the same programs as HBO max, it was cash grab for $15 a month",9.4,skepticides h cz hbomax well up until recently it wasn t even available on roku they also have an hbo app which i think has basically the same programs as hbo max it was cash grab for a month,h well up until recently it t even available on they also have an which i think basically the same as it was cash grab for a month,28,well recently even available also think basically cash grab month,well recent even avail also think basic cash grab month
2037,"@hulu_support So I’m on a TCL Roku TV. I can open every other streaming service and watch anything without issue. But when I try to watch Killing Eve on Hulu, for example, I see the BBC logo that comes up before the show but then the screen goes black and does nothing. Can u help?",9.4,hulu support so i m on a tcl roku tv i can open every other streaming service and watch anything without issue but when i try to watch killing eve on hulu for example i see the bbc logo that comes up before the show but then the screen goes black and does nothing can u help,hulu support so i m on a i can open every other streaming service and watch anything without issue but when i try to watch killing eve on hulu for example i see the that comes up before the show but then the screen goes black and does nothing can u help,52,hulu support open every streaming service watch anything without issue try watch killing eve hulu example see comes show screen goes black nothing help,hulu support open everi stream servic watch anyth without issu tri watch kill eve hulu exampl see come show screen goe black noth help
2038,@Kayla_Applebum For some reason my Roku doesn’t want to cooperate with the internet so I’m watching Friday After Next on dvd.,9.4,kayla applebum for some reason my roku doesn t want to cooperate with the internet so i m watching friday after next on dvd,for some reason my t want to with the so i m watching after next on,16,reason want watching next,reason want watch next
2040,"@Betweenthehedge I use a Roku. I hate to reset it, because I have to re-input all my passwords. Dang it!",9.4,betweenthehedge i use a roku i hate to reset it because i have to re input all my passwords dang it,i use a i hate to reset it because i have to re input all my dang it,18,hate reset input dang,hate reset input dang
2045,"Anyone know if a TV's usb port has enough voltage/amperage to run two things? I got my mom a roku box that runs off of it, but she also uses that usb port to power something else. Want to try one of these but I fear it will drop it too much for the roku since it needs the full 5V https://t.co/tl8ZXhVQBN",9.4,anyone know if a tv s usb port has enough voltage amperage to run two things i got my mom a roku box that runs off of it but she also uses that usb port to power something else want to try one of these but i fear it will drop it too much for the roku since it needs the full v https t co tl zxhvqbn,anyone know if a s port enough voltage amperage to run two i got my a box that off of it but she also that port to power something else want to try one of these but i fear it will drop it too much for the since it needs the full v t,54,anyone know port enough voltage amperage run two got box also port power something else want try fear drop much since needs full,anyon know port enough voltag amperag run two got box also port power someth els want tri fear drop much sinc need full
2055,@YouTubeTV @TeamYouTube there’s this function that recently started on your Roku app where ‘programs made for kids are paused as you browse’ when you go to the guide. I don’t like it. How can I disable that?,9.4,youtubetv teamyoutube there s this function that recently started on your roku app where programs made for kids are paused as you browse when you go to the guide i don t like it how can i disable that,there s this function that recently on your where made for are as you browse when you go to the guide i don t like it how can i disable that,31,function recently made browse go guide like disable,function recent made brows go guid like disabl
2058,"""Miracle on 34th street"", and "" Its A Wonderful Life"". 
 Two of the best Christmas Movies of all time, are on @Freebie_TV free !
  I go through ROKU search to find this station. 
  "" Miracle on 34th street"" with Natalie Wood is the best version.",9.4,miracle on th street and its a wonderful life two of the best christmas movies of all time are on freebie tv free i go through roku search to find this station miracle on th street with natalie wood is the best version,miracle on th street and its a wonderful life two of the best of all time are on free i go through search to find this station miracle on th street with wood is the best version,37,miracle th street wonderful life two best time free go search find station miracle th street wood best version,miracl th street wonder life two best time free go search find station miracl th street wood best version
2060,"@ThatBoysGood Just read a couple days back that if you have the spectrum app on a roku tv, don't delete it. They're in a battle over $$",9.4,thatboysgood just read a couple days back that if you have the spectrum app on a roku tv don t delete it they re in a battle over,just read a couple days back that if you have the spectrum on a don t delete it they re in a battle over,24,read couple days back spectrum delete battle,read coupl day back spectrum delet battl
2061,"Today Ashley and I gave my parents a Roku for their TV, and we couldn’t have possibly gotten them anything better. My dad has been a loyal Danette for @dpshow and since he retired in 2007, that crew has been like his old friends. Now he can watch on Peacock. Merry Christmas Dad.",9.4,today ashley and i gave my parents a roku for their tv and we couldn t have possibly gotten them anything better my dad has been a loyal danette for dpshow and since he retired in that crew has been like his old friends now he can watch on peacock merry christmas dad,today and i gave my a for their and we t have possibly gotten them anything better my dad been a loyal for and since he retired in that crew been like his old now he can watch on peacock merry dad,42,today gave possibly gotten anything better dad loyal since retired crew like old watch peacock merry dad,today gave possibl gotten anyth better dad loyal sinc retir crew like old watch peacock merri dad
2063,"Looking to turn back time on vintage TV, then watch https://t.co/KRKhaeFnJy PoPtro TV and Retro Cartoon Channel. Available Now on https://t.co/KRKhaeFnJy, PNN + Health Mobile App, Roku (Proud TV KLPS) and Chromecast. Happy Holidays from https://t.co/EXn6jzcWbN! #tv #pride https://t.co/G66ZTc1Z2d",9.4,looking to turn back time on vintage tv then watch https t co krkhaefnjy poptro tv and retro cartoon channel available now on https t co krkhaefnjy pnn health mobile app roku proud tv klps and chromecast happy holidays from https t co exn jzcwbn tv pride https t co g ztc z d,looking to turn back time on vintage then watch t and cartoon channel available now on t health mobile and happy from t pride t g z d,28,looking turn back time vintage watch cartoon channel available health mobile happy pride,look turn back time vintag watch cartoon channel avail health mobil happi pride
2064,"If you haven’t been able to find my podcast lately, you might look on SoundCloud, Apple or Roku. You won’t find it however because I don’t have a podcast. I intend to be the last person in America w/o a podcast! You are welcome! #TooManyPodcasts #GoOutside #GetaLife",9.4,if you haven t been able to find my podcast lately you might look on soundcloud apple or roku you won t find it however because i don t have a podcast i intend to be the last person in america w o a podcast you are welcome toomanypodcasts gooutside getalife,if you haven t been able to find my lately you might look on apple or you won t find it however because i don t have a i intend to be the last person in w o a you are welcome,42,able find lately might look apple find however intend last person welcome,abl find late might look appl find howev intend last person welcom
2068,I’m so happy hbomax finally on roku now i can watch boondocks on my tv instead of my laptop.,9.4,i m so happy hbomax finally on roku now i can watch boondocks on my tv instead of my laptop,i m so happy finally on now i can watch boondocks on my instead of my,16,happy finally watch boondocks instead,happi final watch boondock instead
2071,"So DC Universe is no longer available on my Roku. Glad it’s found a home in HBO Max...
 but they really tried to make a DC streaming service with DCEU films rotating in and out, no Arrowverse or Smallville, among other omissions",9.4,so dc universe is no longer available on my roku glad it s found a home in hbo max but they really tried to make a dc streaming service with dceu films rotating in and out no arrowverse or smallville among other omissions,so universe is no longer available on my glad it s found a home in but they really tried to make a streaming service with rotating in and out no or among other,33,universe longer available glad found home really tried make streaming service rotating among,univers longer avail glad found home realli tri make stream servic rotat among
2072,@hulu_support Hulu is one of the channels on my Roku TV. Usually I just open Hulu and navigate to whatever I want to watch. Never a problem before. But in the last few days I click on the show I want and it goes to a black screen where it looks like it’s loading but no show ever comes on.,9.4,hulu support hulu is one of the channels on my roku tv usually i just open hulu and navigate to whatever i want to watch never a problem before but in the last few days i click on the show i want and it goes to a black screen where it looks like it s loading but no show ever comes on,hulu support hulu is one of the on my usually i just open hulu and navigate to whatever i want to watch never a problem before but in the last few days i click on the show i want and it goes to a black screen where it like it s loading but no show ever comes on,58,hulu support hulu usually open hulu navigate whatever want watch never problem last days click show want goes black screen like loading show ever comes,hulu support hulu usual open hulu navig whatev want watch never problem last day click show want goe black screen like load show ever come
2073,"Taught my dad how to turn subtitles on in Prime Video on his Roku. Designers: the speech bubble is not an intuitive symbol for everyone, especially when it’s tiny!",9.4,taught my dad how to turn subtitles on in prime video on his roku designers the speech bubble is not an intuitive symbol for everyone especially when it s tiny,taught my dad how to turn on in prime video on his the speech bubble is not an intuitive symbol for everyone especially when it s tiny,27,taught dad turn prime video speech bubble intuitive symbol everyone especially tiny,taught dad turn prime video speech bubbl intuit symbol everyon especi tini
2074,@AEWonTNT @tntdrama Can this be posted to YouTube please really want to see this but not at home...my parents have a roku and internet connection they don’t have cable...HELP!!!,9.4,aewontnt tntdrama can this be posted to youtube please really want to see this but not at home my parents have a roku and internet connection they don t have cable help,can this be posted to please really want to see this but not at home my have a and connection they don t have cable help,26,posted please really want see home connection cable help,post pleas realli want see home connect cabl help
2078,#agereversal #reverseaging #aging #youth #vitality #oracle #ascension #grid #earth #planet #system #fringetv #roku #fringetvnetwork #ott #overthetop #free #advertising #entertainment #paranormal #educational @livela1164 @LiVela11 @SasquatchSister @SeraphGEl1 https://t.co/o5nkY4owDs,9.4,agereversal reverseaging aging youth vitality oracle ascension grid earth planet system fringetv roku fringetvnetwork ott overthetop free advertising entertainment paranormal educational livela livela sasquatchsister seraphgel https t co o nky owds,aging youth vitality oracle ascension grid earth planet system free advertising entertainment paranormal educational t o,16,aging youth vitality oracle ascension grid earth planet system free advertising entertainment paranormal educational,age youth vital oracl ascens grid earth planet system free advertis entertain paranorm educ
2079,"Apparently if I go decorate the tree, my beau will set up the Roku so we can finally watch Mandalorian.",9.4,apparently if i go decorate the tree my beau will set up the roku so we can finally watch mandalorian,apparently if i go decorate the tree my beau will set up the so we can finally watch,18,apparently go decorate tree beau set finally watch,appar go decor tree beau set final watch
2080,I should watch @TheCW more because I didn’t know about @stargirl_cw until I saw it on the CW app on my Roku TV,9.4,i should watch thecw more because i didn t know about stargirl cw until i saw it on the cw app on my roku tv,i should watch more because i t know about until i saw it on the on my,17,watch know saw,watch know saw
2081,"Enter for your chance to stream all season long with a new Roku TV! No purch nec. Ends 12/23/20. 50 US/DC, 18+ only. Rules: https://t.co/Y2gPIIbhIe",9.4,enter for your chance to stream all season long with a new roku tv no purch nec ends us dc only rules https t co y gpiibhie,enter for your chance to stream all season long with a new no us only t y,17,enter chance stream season long new us,enter chanc stream season long new us
2082,"Praise God! After days of frustration finally got in by deleting app, then ran Roku system update, then re-added the app. The app still crashes; it takes too much load time (4-5minutes). Btw I have ATT Fiber 1000. I am so happy #MyGiftHBOMax @carrieunderwood Thank you so much https://t.co/P0ECY4DqEF",9.4,praise god after days of frustration finally got in by deleting app then ran roku system update then re added the app the app still crashes it takes too much load time minutes btw i have att fiber i am so happy mygifthbomax carrieunderwood thank you so much https t co p ecy dqef,praise god after days of frustration finally got in by then ran system update then re added the the still it too much load time i have fiber i am so happy thank you so much t p,38,praise god days frustration finally got ran system update added still much load time fiber happy thank much,prais god day frustrat final got ran system updat ad still much load time fiber happi thank much
2083,"@VicLombardi hey man, love your content and am a big fan! I’m a big Nuggets fan in Grand Junction and was wondering how I can stream the @nuggets this year? I have a Roku device. Thanks!",9.4,viclombardi hey man love your content and am a big fan i m a big nuggets fan in grand junction and was wondering how i can stream the nuggets this year i have a roku device thanks,hey man love your content and am a big fan i m a big fan in grand junction and was wondering how i can stream the this year i have a device thanks,33,hey man love content big fan big fan grand junction wondering stream year thanks,hey man love content big fan big fan grand junction wonder stream year thank
2085,"@bfishbfish I think that Roku + HBO Max deal was only just finalized in the past ~5 days, so could be a bit buggy? Maybe some restarts, etc?",9.4,bfishbfish i think that roku hbo max deal was only just finalized in the past days so could be a bit buggy maybe some restarts etc,i think that deal was only just in the past days so could be a bit buggy maybe some,19,think deal past days could bit buggy maybe,think deal past day could bit buggi mayb
2091,@LAM0nt87 Now that I got this damn Fantasy League &amp; there are a bunch of blackout games with the Roku I def will consider it,9.4,lam nt now that i got this damn fantasy league amp there are a bunch of blackout games with the roku i def will consider it,lam now that i got this damn fantasy league there are a bunch of blackout with the i will consider it,21,lam got damn fantasy league bunch blackout consider,lam got damn fantasi leagu bunch blackout consid
2095,You know what this old nerd found? That the @Roku channel has the 90s sci-fi show #TimeTrax let’s see if it holds up 20 years later. https://t.co/KkellrhDC6,9.4,you know what this old nerd found that the roku channel has the s sci fi show timetrax let s see if it holds up years later https t co kkellrhdc,you know what this old found that the channel the s fi show let s see if it up later t,21,know old found channel fi show let see later,know old found channel fi show let see later
2097,Our web series Radical Cram School is on the front page of the WhoHaha channel on ROKU!! If you don’t have a TV like me you can still watch us on YouTube. —&gt; https://t.co/rpEfRVlvSJ https://t.co/WkVwpDgpcU,9.4,our web series radical cram school is on the front page of the whohaha channel on roku if you don t have a tv like me you can still watch us on youtube gt https t co rpefrvlvsj https t co wkvwpdgpcu,our web series radical cram school is on the front page of the channel on if you don t have a like me you can still watch us on t t,31,web series radical cram school front page channel like still watch us,web seri radic cram school front page channel like still watch us
2098,I got to drive 30 mins to hook this roku up for my grandma. She gone be calling when she lose this remote.,9.4,i got to drive mins to hook this roku up for my grandma she gone be calling when she lose this remote,i got to drive to hook this up for my grandma she gone be calling when she lose this remote,20,got drive hook grandma gone calling lose remote,got drive hook grandma gone call lose remot
2099,Are the other DC animated shows coming to HBO Max too so I can get rid of my DC Universe subscription? DC Universe is no longer available on Roku https://t.co/CVRrnVGYM7,9.4,are the other dc animated shows coming to hbo max too so i can get rid of my dc universe subscription dc universe is no longer available on roku https t co cvrrnvgym,are the other animated coming to too so i can get rid of my universe subscription universe is no longer available on t,23,animated coming get rid universe subscription universe longer available,anim come get rid univers subscript univers longer avail
2102,"@fmonroy Pero como un fastidio? Yo tengo dos roku stick, un premier y un Roku TV y de verdad que me van bien (claro, tengo un enlace 400/400) pero tenia pensado enviar uno a Venezuela pero si tu dices que el firestick o el chromecast son mejores",9.4,fmonroy pero como un fastidio yo tengo dos roku stick un premier y un roku tv y de verdad que me van bien claro tengo un enlace pero tenia pensado enviar uno a venezuela pero si tu dices que el firestick o el chromecast son mejores,un yo dos stick un premier y un y de me van bien claro un enlace a si tu el o el son,23,un yo dos stick un premier un de van bien claro un enlace si tu el el son,un yo do stick un premier un de van bien claro un enlac si tu el el son
2103,@hbomax @Roku I don’t know which company is responsible but HBO MAX app added but no matter WHAT is done~APP CRASHES! Piece of CRAP @jasonkilar @JohnStankey SOMEONE NEEDS TO FIX THIS YESTERDAY!,9.4,hbomax roku i don t know which company is responsible but hbo max app added but no matter what is done app crashes piece of crap jasonkilar johnstankey someone needs to fix this yesterday,i don t know which company is responsible but added but no matter what is done piece of crap someone needs to fix this yesterday,25,know company responsible added matter done piece crap someone needs fix yesterday,know compani respons ad matter done piec crap someon need fix yesterday
2110,"Looking to turn back time on vintage TV. Then watch https://t.co/KRKhaeFnJy PoPtro TV and Retro Cartoons. Available Now on https://t.co/KRKhaeFnJy, PNN + Health Mobile App, Roku (Proud TV KLPS-19) and Chromecast. Enjoy and Happy Holidays from https://t.co/EXn6jzcWbN! #tv https://t.co/RcEAWFELBY",9.4,looking to turn back time on vintage tv then watch https t co krkhaefnjy poptro tv and retro cartoons available now on https t co krkhaefnjy pnn health mobile app roku proud tv klps and chromecast enjoy and happy holidays from https t co exn jzcwbn tv https t co rceawfelby,looking to turn back time on vintage then watch t and available now on t health mobile and enjoy and happy from t t,24,looking turn back time vintage watch available health mobile enjoy happy,look turn back time vintag watch avail health mobil enjoy happi
2114,@spotifypodcasts @Spotify The only reason I loved the podcast is because I’d see interesting episodes on my YouTube recommendations. Even tho I use Spotify for music every day I just can’t see myself listening to a podcast on Spotify. I also tried and couldn’t find a way to watch the video on my Roku,9.4,spotifypodcasts spotify the only reason i loved the podcast is because i d see interesting episodes on my youtube recommendations even tho i use spotify for music every day i just can t see myself listening to a podcast on spotify i also tried and couldn t find a way to watch the video on my roku,the only reason i the is because i d see interesting on my even tho i use for music every day i just can t see myself listening to a on i also tried and t find a way to watch the video on my,45,reason see interesting even tho music every day see listening also tried find way watch video,reason see interest even tho music everi day see listen also tri find way watch video
2116,Finally broke down and bought a Roku I forgot I can use my xfinity login to watch TV live and for free don’t have to buy another box,9.4,finally broke down and bought a roku i forgot i can use my xfinity login to watch tv live and for free don t have to buy another box,finally broke down and bought a i forgot i can use my login to watch live and for free don t have to buy another box,26,finally broke bought forgot login watch live free buy another box,final broke bought forgot login watch live free buy anoth box
2118,We will be on https://t.co/I2MFn1q9mO TODAY at 1pm EST!! It will lift you up! Watch on ROKU or download the APP now!! #faith #believe #breakthrough Join Us! #faith GOD HEARS YOU! https://t.co/O0hklYpIec,9.4,we will be on https t co i mfn q mo today at pm est it will lift you up watch on roku or download the app now faith believe breakthrough join us faith god hears you https t co o hklypiec,we will be on t i q mo today at it will lift you up watch on or the now faith believe breakthrough join us faith god you t o,30,mo today lift watch faith believe breakthrough join us faith god,mo today lift watch faith believ breakthrough join us faith god
2123,"Got my new Google TV chromecast today from @YouTubeTV and I love it. I really liked my Roku but this new Google TV chromecast has so much more to offer.
 

 Thank you YTTV",9.4,got my new google tv chromecast today from youtubetv and i love it i really liked my roku but this new google tv chromecast has so much more to offer thank you yttv,got my new today from and i love it i really my but this new so much more to offer thank you,22,got new today love really new much offer thank,got new today love realli new much offer thank
2124,"@ATT @hbomax @Roku @WarnerMedia Someone owes ATT Warner &amp; HBO Max sone returned money! The goal HBO Max is that customers double click and get to see content. That’s not happening, &amp; I have ATT Fiber 1000 (plenty of bandwidth); APP Crashes over, &amp; over &amp; over!",9.4,att hbomax roku warnermedia someone owes att warner amp hbo max sone returned money the goal hbo max is that customers double click and get to see content that s not happening amp i have att fiber plenty of bandwidth app crashes over amp over amp over,someone warner returned money the goal is that double click and get to see content that s not happening i have fiber plenty of over over over,27,someone warner returned money goal double click get see content happening fiber plenty,someon warner return money goal doubl click get see content happen fiber plenti
2125,@MakenzieStahura @NikoVasquez96 Yeah I Mean I think the 4K roku is still on sale right now for like $28 which would be a little more future proof cause the fire stick tv unless it’s the one that says 4K that’s a little bit more doesn’t,9.4,makenziestahura nikovasquez yeah i mean i think the k roku is still on sale right now for like which would be a little more future proof cause the fire stick tv unless it s the one that says k that s a little bit more doesn t,yeah i mean i think the k is still on sale right now for like which would be a little more future proof cause the fire stick unless it s the one that k that s a little bit more t,41,yeah mean think still sale right like little future proof cause fire stick unless little bit,yeah mean think still sale right like littl futur proof caus fire stick unless littl bit
2127,Currently I have 2 Ultra’s #Roku and 1 Streaming stick. This way I don’t miss a thing. Never had an issue with any units I purchased prior neither. Wouldn’t consider any other device.,9.4,currently i have ultra s roku and streaming stick this way i don t miss a thing never had an issue with any units i purchased prior neither wouldn t consider any other device,currently i have ultra s and streaming stick this way i don t miss a thing never had an issue with any i prior neither t consider any other device,30,currently streaming stick way miss thing never issue prior neither consider,current stream stick way miss thing never issu prior neither consid
2129,"Y’all have no idea how pumped I am to sit on my couch get drunk and high and watch NBA basketball for 12 hours Christmas Day. I got Roku like 4 months ago and it’s awesome. I’m never getting @Hulu, @disneyplus or @ESPN ever again. Fuck @netflix too.",9.4,y all have no idea how pumped i am to sit on my couch get drunk and high and watch nba basketball for hours christmas day i got roku like months ago and it s awesome i m never getting hulu disneyplus or espn ever again fuck netflix too,y all have no idea how i am to sit on my couch get drunk and high and watch basketball for day i got like ago and it s awesome i m never getting hulu or ever again too,39,idea sit couch get drunk high watch basketball day got like ago awesome never getting hulu ever,idea sit couch get drunk high watch basketbal day got like ago awesom never get hulu ever
2130,"Watching the Christmas week of episodes of @watch_doctors on the @watchretrotv livestream this afternoon on the @Roku box and I notice that the picture has improved and it has the ""live"" video look vs the digitized internet stream look. https://t.co/2MbC2oFTcn",9.4,watching the christmas week of episodes of watch doctors on the watchretrotv livestream this afternoon on the roku box and i notice that the picture has improved and it has the live video look vs the digitized internet stream look https t co mbc oftcn,watching the week of of watch on the this afternoon on the box and i notice that the picture and it the live video look the stream look t,29,watching week watch afternoon box notice picture live video look stream look,watch week watch afternoon box notic pictur live video look stream look
2134,"@otherjimdonahue I recently got the Roku Sound Bar when it was in sale and it's positively affected my life. First, I can actually hear my tv now. Second, the interface is so so well done.",9.4,otherjimdonahue i recently got the roku sound bar when it was in sale and it s positively affected my life first i can actually hear my tv now second the interface is so so well done,i recently got the sound bar when it was in sale and it s positively affected my life first i can actually hear my now second the interface is so so well done,33,recently got sound bar sale positively affected life first actually hear second interface well done,recent got sound bar sale posit affect life first actual hear second interfac well done
2135,"We're always at the same place.
 We have a deep Playlist, you won't hear the same 25 songs.
 Listen via Siri, Alexa, Tunein or Roku or visit. https://t.co/JKoadnOVlp
 

 #yachtrock #yachtrockmiami #yachtrockradio #internetradio #80s #keepthefire #yacht2sabes",9.4,we re always at the same place we have a deep playlist you won t hear the same songs listen via siri alexa tunein or roku or visit https t co jkoadnovlp yachtrock yachtrockmiami yachtrockradio internetradio s keepthefire yacht sabes,we re always at the same place we have a deep you won t hear the same listen via or or visit t s yacht,25,always place deep hear listen via visit yacht,alway place deep hear listen via visit yacht
2137,@RokuSupport I just bought a Roku TV. They are saying that you deleted it from the app store. I can’t use the TV nor other Roku boxes. Why would I go to spectrum since you deleted the app? is that correct?,9.4,rokusupport i just bought a roku tv they are saying that you deleted it from the app store i can t use the tv nor other roku boxes why would i go to spectrum since you deleted the app is that correct,i just bought a they are saying that you it from the store i can t use the nor other why would i go to spectrum since you the is that correct,32,bought saying store go spectrum since correct,bought say store go spectrum sinc correct
2138,Tell me how I wake up at 5am and freak out cuz the tv in the living room is on. I go to check it out and it’s my cat laying on/next to the controller trying to download the Roku channel. https://t.co/cFISOj0sKB,9.4,tell me how i wake up at am and freak out cuz the tv in the living room is on i go to check it out and it s my cat laying on next to the controller trying to download the roku channel https t co cfisoj skb,tell me how i wake up at am and freak out the in the living room is on i go to check it out and it s my cat laying on next to the controller trying to the channel t,40,tell wake freak living room go check cat laying next controller trying channel,tell wake freak live room go check cat lay next control tri channel
2139,The four year old wanted to watch Frosty the Snowman. Roku found us a free app to watch it on. It started off with this lovely vape ad. https://t.co/uAo0Uh0p0T,9.4,the four year old wanted to watch frosty the snowman roku found us a free app to watch it on it started off with this lovely vape ad https t co uao uh p t,the four year old to watch frosty the found us a free to watch it on it off with this lovely ad t p t,25,four year old watch frosty found us free watch lovely ad,four year old watch frosti found us free watch love ad
2140,"LAUGHING IN THE MIST OF A PANDEMIC, ALL I CAN SAY IS THIS WAS ONE HELL OF A SHOW, SEE IT ON THE TOTAL ENTERTAINMENT PACKAGE/ ROKU CHANNEL EARLY JANUARY2021! #COMEDYYOUCANFEEL https://t.co/ZrW148PpiP https://t.co/ycUBbfmY2h",9.4,laughing in the mist of a pandemic all i can say is this was one hell of a show see it on the total entertainment package roku channel early january comedyyoucanfeel https t co zrw ppip https t co ycubbfmy h,laughing in the mist of a pandemic all i can say is this was one hell of a show see it on the total entertainment package channel early t t h,31,laughing mist pandemic say hell show see total entertainment package channel early,laugh mist pandem say hell show see total entertain packag channel earli
2142,"Join me Christmas Eve 7pm est on The Lonnie Hunter Show TV. With my special guests @SamsonLogan and @jmablejr on RTN, COMCAST ROKU AMAZON FIRE AND ANDROID TV https://t.co/H2TslkbZBA",9.4,join me christmas eve pm est on the lonnie hunter show tv with my special guests samsonlogan and jmablejr on rtn comcast roku amazon fire and android tv https t co h tslkbzba,join me eve on the show with my special and on fire and android t h,16,join eve show special fire android,join eve show special fire android
2143,@markgurman Do you think Fitness+ will remain exclusive to Apple TV? I have a feeling it won’t. Just like Airplay is now available on Roku TV’s and alike,9.4,markgurman do you think fitness will remain exclusive to apple tv i have a feeling it won t just like airplay is now available on roku tv s and alike,do you think fitness will remain exclusive to apple i have a feeling it won t just like is now available on s and alike,25,think fitness remain exclusive apple feeling like available alike,think fit remain exclus appl feel like avail alik
2144,"Thanks for the plug! 
 

 WATCH &amp; LISTEN to Gavin for FREE!!
 

 Katy Taylor vs Mayde Creek Hoops 1pm
 

  Search abc13 on Roku/Apple/Fire 
  https://t.co/9kwpICNHHf
 abc13 app
 

 Have a GREAT game Gavin!
 

 @abc13houston @Texan_Live https://t.co/OI1BHySTC7",9.4,thanks for the plug watch amp listen to gavin for free katy taylor vs mayde creek hoops pm search abc on roku apple fire https t co kwpicnhhf abc app have a great game gavin abc houston texan live https t co oi bhystc,thanks for the plug watch listen to for free creek search on apple fire t have a great game live t,21,thanks plug watch listen free creek search apple fire great game live,thank plug watch listen free creek search appl fire great game live
2145,@Ask_Spectrum I have a few Roku boxes in my house. I had to buy a new Roku. I can’t seem to get it working. I understand if I am a new customer without a Roku box you are blocking because of a contract issue with Roku. But shouldn’t my new Roku box be working?,9.4,ask spectrum i have a few roku boxes in my house i had to buy a new roku i can t seem to get it working i understand if i am a new customer without a roku box you are blocking because of a contract issue with roku but shouldn t my new roku box be working,ask spectrum i have a few in my house i had to buy a new i can t seem to get it working i understand if i am a new customer without a box you are blocking because of a contract issue with but t my new box be working,50,ask spectrum house buy new seem get working understand new customer without box blocking contract issue new box working,ask spectrum hous buy new seem get work understand new custom without box block contract issu new box work
2146,"Enter for your chance to stream all season long with a new Roku TV! No purch nec. Ends 12/23/20. 50 US/DC, 18+ only. Rules: https://t.co/kAg04uCvVO #",9.4,enter for your chance to stream all season long with a new roku tv no purch nec ends us dc only rules https t co kag ucvvo,enter for your chance to stream all season long with a new no us only t,16,enter chance stream season long new us,enter chanc stream season long new us
2150,"Watch the City Council work session virtual live stream today beginning at 1 p.m.
 

 Agenda: https://t.co/zt4co1x4gP
 

 Live Streams:
 - https://t.co/nvglh6PNZx
 - Spectrum ch. 8, Google Fiber ch. 8, Frontier ch. 70, AT&amp;T U-verse ch. 99
 - Roku, Apple TV &amp; Amazon Fire TV (Boxcast app) https://t.co/PD96kQXmrn",9.4,watch the city council work session virtual live stream today beginning at p m agenda https t co zt co x gp live streams https t co nvglh pnzx spectrum ch google fiber ch frontier ch at amp t u verse ch roku apple tv amp amazon fire tv boxcast app https t co pd kqxmrn,watch the city council work session virtual live stream today beginning at p m agenda t x live t spectrum fiber frontier at t u verse apple fire t,29,watch city council work session virtual live stream today beginning agenda live spectrum fiber frontier verse apple fire,watch citi council work session virtual live stream today begin agenda live spectrum fiber frontier vers appl fire
